instance_id,stakeholder,model_centric_choice,stakeholder_choice,diverges,stakeholder_utility,utility_of_model_centric_choice,regret,margin_over_runner_up
9784,doctor,SHAP,Counterfactual,True,0.6948403247116753,0.5282536309087095,0.16658669380296587,0.03625838292550354
9784,patient,SHAP,Counterfactual,True,0.7538356637927807,0.36643856073837505,0.3873971030544056,0.22016693572264256
9784,auditor,SHAP,SHAP,False,0.7839825079904547,0.7839825079904547,0.0,0.19965734418214154
5718,doctor,Counterfactual,Counterfactual,False,0.808728566042205,0.808728566042205,0.0,0.10848161525177613
5718,patient,Counterfactual,Counterfactual,False,0.7917984109029572,0.7917984109029572,0.0,0.09059285787018156
5718,auditor,Counterfactual,SHAP,True,0.771155986971713,0.7232761761125469,0.04787981085916604,0.04787981085916604
20699,doctor,SHAP,Counterfactual,True,0.7596409646883022,0.6859998757006204,0.07364108898768185,0.07154572659306413
20699,patient,SHAP,Counterfactual,True,0.775435877118323,0.45464532713703537,0.3207905499812876,0.13972159140403717
20699,auditor,SHAP,SHAP,False,0.8,0.8,0.0,0.016666666666666607
16030,doctor,SHAP,Counterfactual,True,0.8064010235603519,0.6942117106233284,0.1121893129370235,0.1121893129370235
16030,patient,SHAP,Counterfactual,True,0.7910225634090062,0.5096542762705489,0.2813682871384573,0.17745599125171263
16030,auditor,SHAP,SHAP,False,0.7941249113824735,0.7941249113824735,0.0,0.07705551522153498
4509,doctor,SHAP,SHAP,False,0.5115225920761974,0.5115225920761974,0.0,0.11152259207619747
4509,patient,SHAP,Rules,True,0.6777777777777777,0.456965699255032,0.2208120785227457,0.18927718185077946
4509,auditor,SHAP,SHAP,False,0.642257420941565,0.642257420941565,0.0,0.2910759123917682
2250,doctor,SHAP,Counterfactual,True,0.7504014813977276,0.6797820897801123,0.07061939161761521,0.07061939161761521
2250,patient,SHAP,Counterfactual,True,0.7723560493547981,0.4585964210475578,0.31375962830724025,0.06411904456465001
2250,auditor,SHAP,SHAP,False,0.799889371102735,0.799889371102735,0.0,0.20249964789581498
16458,doctor,SHAP,Counterfactual,True,0.7830288428667646,0.6409397600660041,0.1420890828007605,0.13452600124705139
16458,patient,SHAP,Counterfactual,True,0.7832318365111437,0.45901256058341555,0.32421927592772815,0.15595311152679492
16458,auditor,SHAP,SHAP,False,0.7319296281366743,0.7319296281366743,0.0,0.07718604715863531
17686,doctor,SHAP,Rules,True,0.5405392011694723,0.48473286598469373,0.055806335184778566,0.055806335184778566
17686,patient,SHAP,Rules,True,0.49129084483426855,0.3572102507507123,0.13408059408355627,0.10490770255212706
17686,auditor,SHAP,SHAP,False,0.6518649959627028,0.6518649959627028,0.0,0.0399051992345385
14846,doctor,SHAP,SHAP,False,0.6993624854485198,0.6993624854485198,0.0,0.0931906184550213
14846,patient,SHAP,Counterfactual,True,0.6504211113864671,0.5117540287158893,0.1386670826705778,0.1386670826705778
14846,auditor,SHAP,SHAP,False,0.8,0.8,0.0,0.16305588521855707
1716,doctor,SHAP,SHAP,False,0.5476059006038543,0.5476059006038543,0.0,0.1476059006038543
1716,patient,SHAP,Rules,True,0.6777777777777777,0.3752879774558152,0.3024898003219625,0.2924367263501687
1716,auditor,SHAP,SHAP,False,0.6439633374050147,0.6439633374050147,0.0,0.37729667073834794
10520,doctor,SHAP,Rules,True,0.5833333333333333,0.527652745208268,0.05568058812506527,0.05568058812506527
10520,patient,SHAP,Rules,True,0.6055555555555555,0.3351401685737723,0.2704153869817832,0.12207801446147332
10520,auditor,SHAP,SHAP,False,0.6666666666666667,0.6666666666666667,0.0,0.07777777777777783
14316,doctor,SHAP,Counterfactual,True,0.5513114855287164,0.4727074204347865,0.07860406509392998,0.07860406509392998
14316,patient,SHAP,Counterfactual,True,0.5722731114837118,0.31718008558886795,0.2550930258948439,0.22621027534104643
14316,auditor,SHAP,SHAP,False,0.6175235597258746,0.6175235597258746,0.0,0.16929351456392538
3177,doctor,SHAP,SHAP,False,0.49960935799978023,0.49960935799978023,0.0,0.1781895780930532
3177,patient,SHAP,Counterfactual,True,0.5397254250295406,0.40508440332111295,0.13464102170842762,0.13464102170842762
3177,auditor,SHAP,SHAP,False,0.5333333333333333,0.5333333333333333,0.0,0.37474421289780924
857,doctor,SHAP,SHAP,False,0.5443660930932918,0.5443660930932918,0.0,0.1443660930932918
857,patient,SHAP,Rules,True,0.6777777777777777,0.3593273467174014,0.3184504310603763,0.29019385910690826
857,auditor,SHAP,SHAP,False,0.6666666666666667,0.6666666666666667,0.0,0.6722222222222223
15567,doctor,SHAP,SHAP,False,0.5872934752721419,0.5872934752721419,0.0,0.11563775951919636
15567,patient,SHAP,Rules,True,0.43400716083351704,0.2670967168114995,0.16691044402201755,0.11793688606237523
15567,auditor,SHAP,SHAP,False,0.6943678628578112,0.6943678628578112,0.0,0.22030207254566297
19360,doctor,SHAP,SHAP,False,0.5841237751926239,0.5841237751926239,0.0,0.08600306808975494
19360,patient,SHAP,Counterfactual,True,0.4573520063283351,0.37759429485969126,0.07975771146864385,0.07913240156012852
19360,auditor,SHAP,SHAP,False,0.7437508707096292,0.7437508707096292,0.0,0.2460655043084986
6153,doctor,SHAP,Counterfactual,True,0.7494465132056038,0.6794456780229448,0.0700008351826591,0.0700008351826591
6153,patient,SHAP,Counterfactual,True,0.7720377266240901,0.47684481823281,0.2951929083912801,0.15600483554724898
6153,auditor,SHAP,SHAP,False,0.7966742488300323,0.7966742488300323,0.0,0.1333333333333333
6334,doctor,SHAP,SHAP,False,0.5704036965824151,0.5704036965824151,0.0,0.1649174944351351
6334,patient,SHAP,Rules,True,0.6777777777777777,0.33789462764521605,0.33988315013256165,0.20536555702825537
6334,auditor,SHAP,SHAP,False,0.7754653904043847,0.7754653904043847,0.0,0.38364359360292305
11418,doctor,SHAP,Counterfactual,True,0.8087875659868384,0.7021864776575767,0.10660108832926174,0.061823411992749544
11418,patient,SHAP,Counterfactual,True,0.7918180775511684,0.5095271921936254,0.282290885357543,0.011718915108694383
11418,auditor,SHAP,SHAP,False,0.7906919366218683,0.7906919366218683,0.0,0.047467421091742956
2692,doctor,SHAP,SHAP,False,0.6741495514067622,0.6741495514067622,0.0,0.050795902207452115
2692,patient,SHAP,Counterfactual,True,0.6758975546521159,0.425613844425157,0.2502837102269589,0.20255950887774116
2692,auditor,SHAP,SHAP,False,0.8,0.8,0.0,0.1333333333333333
11234,doctor,SHAP,SHAP,False,0.5104498377412017,0.5104498377412017,0.0,0.1104498377412017
11234,patient,SHAP,Rules,True,0.6777777777777777,0.3358082083277935,0.3419695694499842,0.29076169653602385
11234,auditor,SHAP,SHAP,False,0.6419560625391341,0.6419560625391341,0.0,0.29664853690605253
11610,doctor,SHAP,SHAP,False,0.6971956264717565,0.6971956264717565,0.0,0.02151694858153741
11610,patient,SHAP,Counterfactual,True,0.5229988225718442,0.46110331490824674,0.061895507663597416,0.061895507663597416
11610,auditor,SHAP,SHAP,False,0.8,0.8,0.0,0.19103107766437621
16805,doctor,SHAP,SHAP,False,0.5585739318575197,0.5585739318575197,0.0,0.10683534408531475
16805,patient,SHAP,Counterfactual,True,0.4420575299152861,0.349806386121049,0.0922511437942371,0.06652775963286522
16805,auditor,SHAP,SHAP,False,0.7193185211057487,0.7193185211057487,0.0,0.25736468512183486
6873,doctor,SHAP,SHAP,False,0.5942513650194062,0.5942513650194062,0.0,0.13727810166892185
6873,patient,SHAP,Counterfactual,True,0.5252288053060125,0.3456540389783853,0.17957476632762714,0.164596460641034
6873,auditor,SHAP,SHAP,False,0.8,0.8,0.0,0.355250290916704
10844,doctor,Counterfactual,Counterfactual,False,0.8166666666666667,0.8166666666666667,0.0,0.0877395138724143
10844,patient,Counterfactual,Counterfactual,False,0.7944444444444444,0.7944444444444444,0.0,0.11535761573524916
10844,auditor,Counterfactual,SHAP,True,0.7523427279816813,0.7444444444444445,0.007898283537236872,0.006013291876011517
5128,doctor,SHAP,SHAP,False,0.47820203382454385,0.47820203382454385,0.0,0.07820203382454388
5128,patient,SHAP,Rules,True,0.6777777777777777,0.3380913592738279,0.3396864185039498,0.1972778125768968
5128,auditor,SHAP,SHAP,False,0.6122538918551511,0.6122538918551511,0.0,0.34778866638942557
2719,doctor,Counterfactual,Counterfactual,False,0.6450215785122845,0.6450215785122845,0.0,0.062744199950586
2719,patient,Counterfactual,Counterfactual,False,0.6515039470339868,0.6515039470339868,0.0,0.19286742730482576
2719,auditor,Counterfactual,Counterfactual,False,0.7333333333333334,0.7333333333333334,0.0,0.06666666666666665
10160,doctor,SHAP,SHAP,False,0.524142772761734,0.524142772761734,0.0,0.12762826963291019
10160,patient,SHAP,SHAP,False,0.39759091670781077,0.39759091670781077,0.0,0.019771417266678193
10160,auditor,SHAP,SHAP,False,0.6414468148617744,0.6414468148617744,0.0,0.29188651847155894
12266,doctor,Rules,Rules,False,0.85,0.85,0.0,0.20731693067092316
12266,patient,Rules,Rules,False,0.8277777777777777,0.8277777777777777,0.0,0.12227489308076844
12266,auditor,Rules,Rules,False,0.7944444444444445,0.7944444444444445,0.0,0.032247637400221185
4612,doctor,SHAP,Rules,True,0.506988800050144,0.504364086448215,0.002624713601929063,0.002624713601929063
4612,patient,SHAP,Rules,True,0.4801073777944925,0.3666968446817528,0.11341053311273969,0.09260963184632337
4612,auditor,SHAP,SHAP,False,0.6473979789500854,0.6473979789500854,0.0,0.10250877650208101
7331,doctor,SHAP,Rules,True,0.5015581026230768,0.4884703527665184,0.013087749856558362,0.013087749856558362
7331,patient,SHAP,Rules,True,0.7116304786521367,0.3587628821044633,0.3528675965476734,0.21245240262791365
7331,auditor,SHAP,SHAP,False,0.6161762004521645,0.6161762004521645,0.0,0.16956061325995664
4324,doctor,SHAP,SHAP,False,0.41406977407431944,0.41406977407431944,0.0,0.06406977407431946
4324,patient,SHAP,Counterfactual,True,0.3870523198555312,0.3787006639157206,0.008351655939810576,0.008351655939810576
4324,auditor,SHAP,SHAP,False,0.4,0.4,0.0,0.4
18736,doctor,SHAP,SHAP,False,0.5763185006968219,0.5763185006968219,0.0,0.10930451053308415
18736,patient,SHAP,Counterfactual,True,0.45069469182477756,0.37557528520989863,0.07511940661487893,0.07511940661487893
18736,auditor,SHAP,SHAP,False,0.7258872881972065,0.7258872881972065,0.0,0.24833929328791554
20059,doctor,Rules,Rules,False,0.8333333333333333,0.8333333333333333,0.0,0.2426651115238475
20059,patient,Rules,Counterfactual,True,0.7354903268768676,0.6888888888888889,0.04660143798797867,0.04660143798797867
20059,auditor,Rules,Rules,False,0.788888888888889,0.788888888888889,0.0,0.11080885166260435
7991,doctor,Counterfactual,Counterfactual,False,0.8166666666666667,0.8166666666666667,0.0,0.04790043412433176
7991,patient,Counterfactual,Counterfactual,False,0.7944444444444444,0.7944444444444444,0.0,0.007077922485888344
7991,auditor,Counterfactual,Rules,True,0.7827994211675577,0.7444444444444445,0.03835497672311328,0.003876015295584123
17974,doctor,SHAP,SHAP,False,0.706452812919649,0.706452812919649,0.0,0.16322357976719037
17974,patient,SHAP,LIME,True,0.38557184655430315,0.3443884386473199,0.04118340790698327,0.04118340790698327
17974,auditor,SHAP,SHAP,False,0.7867580344639032,0.7867580344639032,0.0,0.25952921207861246
20526,doctor,Counterfactual,Counterfactual,False,0.8166666666666667,0.8166666666666667,0.0,0.10458596643816986
20526,patient,Counterfactual,Counterfactual,False,0.7944444444444444,0.7944444444444444,0.0,0.12097309992383432
20526,auditor,Counterfactual,Counterfactual,False,0.7444444444444445,0.7444444444444445,0.0,0.02619713361691267
8635,doctor,SHAP,SHAP,False,0.560545518864366,0.560545518864366,0.0,0.16689129869196284
8635,patient,SHAP,Rules,True,0.6400730337038706,0.2951213494926347,0.3449516842112359,0.033333333333333326
8635,auditor,SHAP,SHAP,False,0.7916243002013359,0.7916243002013359,0.0,0.4068495770416448
9185,doctor,Rules,Rules,False,0.85,0.85,0.0,0.20378704132782843
9185,patient,Rules,Rules,False,0.8277777777777777,0.8277777777777777,0.0,0.37571329496493977
9185,auditor,Rules,Rules,False,0.7944444444444445,0.7944444444444445,0.0,0.07370596875777446
10665,doctor,SHAP,SHAP,False,0.6496630357000368,0.6496630357000368,0.0,0.14775858694725774
10665,patient,SHAP,Counterfactual,True,0.5258630862645681,0.43868494251864376,0.08717814374592436,0.08717814374592436
10665,auditor,SHAP,SHAP,False,0.78023550736371,0.78023550736371,0.0,0.27843369291476716
15830,doctor,SHAP,SHAP,False,0.4604721812362924,0.4604721812362924,0.0,0.04853892787808556
15830,patient,SHAP,Rules,True,0.6777777777777777,0.38306991148150293,0.29470786629627477,0.033333333333333326
15830,auditor,SHAP,SHAP,False,0.5358500982423655,0.5358500982423655,0.0,0.14968984328167428
5795,doctor,SHAP,SHAP,False,0.7155276253626875,0.7155276253626875,0.0,0.15282639566459089
5795,patient,SHAP,Counterfactual,True,0.646836373729701,0.5124979770641998,0.1343383966655013,0.017200088082494513
5795,auditor,SHAP,SHAP,False,0.7637299268754003,0.7637299268754003,0.0,0.14700423076765923
20752,doctor,LIME,LIME,False,0.6313844250669498,0.6313844250669498,0.0,0.13565880700603372
20752,patient,LIME,LIME,False,0.45255798065776054,0.45255798065776054,0.0,0.04706524591081873
20752,auditor,LIME,LIME,False,0.6474234591983307,0.6474234591983307,0.0,0.04763600494933873
2106,doctor,LIME,Counterfactual,True,0.65,0.5694649363340469,0.08053506366595309,0.06532648088100712
2106,patient,LIME,Counterfactual,True,0.449322766472693,0.3786332232725599,0.0706895432001331,0.019878136761270482
2106,auditor,LIME,SHAP,True,0.7577981357894563,0.6455657345613949,0.11223240122806144,0.11223240122806144
6718,doctor,SHAP,SHAP,False,0.5308570812513647,0.5308570812513647,0.0,0.10810674973943957
6718,patient,SHAP,Rules,True,0.6777777777777777,0.33276029069650526,0.34501748708127244,0.19315137987372183
6718,auditor,SHAP,SHAP,False,0.6666666666666667,0.6666666666666667,0.0,0.2666666666666667
17525,doctor,Rules,Rules,False,0.85,0.85,0.0,0.18409147203328124
17525,patient,Rules,Rules,False,0.8277777777777777,0.8277777777777777,0.0,0.17504076790854617
17525,auditor,Rules,Rules,False,0.7944444444444445,0.7944444444444445,0.0,0.06672153121629698
8400,doctor,SHAP,SHAP,False,0.6757682112160524,0.6757682112160524,0.0,0.1068139434020895
8400,patient,SHAP,SHAP,False,0.4247423672164374,0.4247423672164374,0.0,0.026410848016874433
8400,auditor,SHAP,SHAP,False,0.7672300869401304,0.7672300869401304,0.0,0.15256723599619848
10132,doctor,SHAP,Counterfactual,True,0.7406979784142363,0.7221689145101955,0.018529063904040854,0.018529063904040854
10132,patient,SHAP,Counterfactual,True,0.6376423116559687,0.5046752719564326,0.13296703969953616,0.07056209439666106
10132,auditor,SHAP,SHAP,False,0.7999486338410747,0.7999486338410747,0.0,0.02236664071879868
5724,doctor,SHAP,SHAP,False,0.47596068552001697,0.47596068552001697,0.0,0.061111587555548075
5724,patient,SHAP,Rules,True,0.6777777777777777,0.37635329620589025,0.30142448157188745,0.2949423058371349
5724,auditor,SHAP,SHAP,False,0.5234595317896424,0.5234595317896424,0.0,0.1359644358387581
380,doctor,SHAP,SHAP,False,0.46314824023242007,0.46314824023242007,0.0,0.0631482402324201
380,patient,SHAP,Rules,True,0.6777777777777777,0.4086713773199064,0.2691064004578713,0.2691064004578713
380,auditor,SHAP,SHAP,False,0.6390544735032476,0.6390544735032476,0.0,0.2942788598300858
7749,doctor,SHAP,SHAP,False,0.5904098723576218,0.5904098723576218,0.0,0.11497531465842614
7749,patient,SHAP,SHAP,False,0.39466710381563785,0.39466710381563785,0.0,0.01641286943623471
7749,auditor,SHAP,SHAP,False,0.7704496761730664,0.7704496761730664,0.0,0.28183851017570094
5933,doctor,SHAP,Counterfactual,True,0.7719038055617581,0.6959032154305272,0.07600059013123084,0.026163823033561462
5933,patient,SHAP,Rules,True,0.7846911052871767,0.5151607694068455,0.26953033588033115,0.005167614544368426
5933,auditor,SHAP,SHAP,False,0.7871707117880073,0.7871707117880073,0.0,0.03186409171281612
10771,doctor,SHAP,Counterfactual,True,0.7396118170382143,0.6828611044096633,0.056750712628551025,0.056750712628551025
10771,patient,SHAP,Counterfactual,True,0.7687594945682936,0.4608762062030899,0.30788328836520373,0.16833164326924877
10771,auditor,SHAP,SHAP,False,0.8,0.8,0.0,0.14336195884464442
20597,doctor,SHAP,SHAP,False,0.5735442543723855,0.5735442543723855,0.0,0.11319104764446741
20597,patient,SHAP,Counterfactual,True,0.5305718435905786,0.3490220600580174,0.18154978353256124,0.15197826528035774
20597,auditor,SHAP,SHAP,False,0.728666616155466,0.728666616155466,0.0,0.2576592311965611
7867,doctor,SHAP,SHAP,False,0.6084777058217627,0.6084777058217627,0.0,0.004087906015666998
7867,patient,SHAP,Counterfactual,True,0.7236854888242541,0.4121322479655743,0.3115532408586798,0.3115532408586798
7867,auditor,SHAP,SHAP,False,0.7327498519104045,0.7327498519104045,0.0,0.2816610189621816
491,doctor,SHAP,Counterfactual,True,0.7806679447918512,0.7249411367585215,0.055726808033329744,0.055726808033329744
491,patient,SHAP,Counterfactual,True,0.7824448704861726,0.5117795204089656,0.27066535007720705,0.015342383407341953
491,auditor,SHAP,SHAP,False,0.7908575792279664,0.7908575792279664,0.0,0.1404113397035942
18869,doctor,SHAP,Rules,True,0.5136170217146795,0.4402413536593587,0.07337566805532081,0.03881555556830574
18869,patient,SHAP,Counterfactual,True,0.5851895099728255,0.4422462487346635,0.14294326123816198,0.1028727249568212
18869,auditor,SHAP,SHAP,False,0.6785735070362888,0.6785735070362888,0.0,0.04930636697227164
12133,doctor,SHAP,Counterfactual,True,0.7882478134780264,0.6678099810241023,0.12043783245392414,0.12043783245392414
12133,patient,SHAP,Counterfactual,True,0.7849714933815644,0.49008789059217006,0.2948836027893943,0.2001800497595434
12133,auditor,SHAP,SHAP,False,0.744115027515063,0.744115027515063,0.0,0.025009617165068887
19557,doctor,SHAP,Rules,True,0.496409981222038,0.41107086960206285,0.08533911161997515,0.07530118447291695
19557,patient,SHAP,Rules,True,0.543247771518457,0.2522684881707069,0.29097928334775014,0.2371953762345541
19557,auditor,SHAP,SHAP,False,0.6336120796331771,0.6336120796331771,0.0,0.16340197555553043
4061,doctor,LIME,LIME,False,0.44750136051592615,0.44750136051592615,0.0,0.025163373560559643
4061,patient,LIME,Rules,True,0.6777777777777777,0.3653885229233146,0.3123892548544631,0.033333333333333326
4061,auditor,LIME,SHAP,True,0.4,0.4,0.0,0.0
