instance_id,stakeholder,method,phi_fidelity,phi_completeness,phi_sparsity,phi_actionability,phi_cost,utility,n_cited,runtime_s,prediction,degenerate_fidelity
9784,doctor,SHAP,0.9599562699761365,1.0,0.0,0.3008891663862285,0.0,0.5282536309087095,9,0.00026241700015816605,0.7465705115330111,False
9784,doctor,LIME,0.8941756803532445,0.8339308264494157,0.33333333333333337,0.3292037633912912,1.0,0.44210345709077303,6,0.03251770899987605,0.7465705115330111,False
9784,doctor,Counterfactual,1.0,0.18782438696672485,0.8888888888888888,1.0,0.6666666666666666,0.6948403247116753,1,0.010342875000333152,0.7465705115330111,False
9784,doctor,Rules,0.8072586215789481,0.6952209546085013,0.6666666666666667,0.8181818181818182,0.3333333333333333,0.6585819417861718,3,0.004731915999855119,0.7465705115330111,False
9784,patient,SHAP,0.9599562699761365,1.0,0.0,0.5511073343519035,0.0,0.36643856073837505,9,0.00026241700015816605,0.7465705115330111,False
9784,patient,LIME,0.8941756803532445,0.8339308264494157,0.33333333333333337,0.7039327922767457,1.0,0.42935389293516013,6,0.03251770899987605,0.7465705115330111,False
9784,patient,Counterfactual,1.0,0.18782438696672485,0.8888888888888888,1.0,0.6666666666666666,0.7538356637927807,1,0.010342875000333152,0.7465705115330111,False
9784,patient,Rules,0.8072586215789481,0.6952209546085013,0.6666666666666667,0.5454545454545455,0.3333333333333333,0.5336687280701381,3,0.004731915999855119,0.7465705115330111,False
9784,auditor,SHAP,0.9599562699761365,1.0,0.0,0.0,0.0,0.7839825079904547,9,0.00026241700015816605,0.7465705115330111,False
9784,auditor,LIME,0.8941756803532445,0.8339308264494157,0.33333333333333337,0.0,1.0,0.5579092693877308,6,0.03251770899987605,0.7465705115330111,False
9784,auditor,Counterfactual,1.0,0.18782438696672485,0.8888888888888888,0.0,0.6666666666666666,0.4195741992311344,1,0.010342875000333152,0.7465705115330111,False
9784,auditor,Rules,0.8072586215789481,0.6952209546085013,0.6666666666666667,0.0,0.3333333333333333,0.5843251638083131,3,0.004731915999855119,0.7465705115330111,False
5718,doctor,SHAP,0.9278899674292823,1.0,0.0,0.9062665352054805,0.0,0.7002469507904289,9,0.00019212500001231092,0.8545529199150663,False
5718,doctor,LIME,0.8836144281303652,0.9988403742710343,0.33333333333333337,0.7256035867991659,1.0,0.5825914606195145,6,0.028177791999951296,0.8545529199150663,False
5718,doctor,Counterfactual,1.0,0.9470793291702561,0.8888888888888888,1.0,0.6666666666666666,0.808728566042205,1,0.010051292000298417,0.8545529199150663,False
5718,doctor,Rules,0.5796922587299178,0.8647265431956774,0.6666666666666667,0.2857142857142857,0.3333333333333333,0.4559976114792793,3,0.004477833000237297,0.8545529199150663,False
5718,patient,SHAP,0.9278899674292823,1.0,0.0,0.9303569887145973,0.0,0.5149317922287672,9,0.00019212500001231092,0.8545529199150663,False
5718,patient,LIME,0.8836144281303652,0.9988403742710343,0.33333333333333337,0.9158858009982208,1.0,0.5213244485925432,6,0.028177791999951296,0.8545529199150663,False
5718,patient,Counterfactual,1.0,0.9470793291702561,0.8888888888888888,1.0,0.6666666666666666,0.7917984109029572,1,0.010051292000298417,0.8545529199150663,False
5718,patient,Rules,0.5796922587299178,0.8647265431956774,0.6666666666666667,1.0,0.3333333333333333,0.7012055530327757,3,0.004477833000237297,0.8545529199150663,False
5718,auditor,SHAP,0.9278899674292823,1.0,0.0,0.0,0.0,0.771155986971713,9,0.00019212500001231092,0.8545529199150663,False
5718,auditor,LIME,0.8836144281303652,0.9988403742710343,0.33333333333333337,0.0,1.0,0.6196485876272265,6,0.028177791999951296,0.8545529199150663,False
5718,auditor,Counterfactual,1.0,0.9470793291702561,0.8888888888888888,0.0,0.6666666666666666,0.7232761761125469,1,0.010051292000298417,0.8545529199150663,False
5718,auditor,Rules,0.5796922587299178,0.8647265431956774,0.6666666666666667,0.0,0.3333333333333333,0.5611008541035715,3,0.004477833000237297,0.8545529199150663,False
20699,doctor,SHAP,1.0,1.0,0.0,0.7866662523354013,0.0,0.6859998757006204,9,0.00018087499984176247,0.8263899117449502,False
20699,doctor,LIME,0.8533919644920333,1.0,0.33333333333333337,0.6037606427767293,1.0,0.5371457821806287,6,0.027973333000318235,0.8263899117449502,False
20699,doctor,Counterfactual,1.0,0.6198286534775703,0.8888888888888888,1.0,0.6666666666666666,0.7596409646883022,1,0.012348167000254762,0.8263899117449502,False
20699,doctor,Rules,1.0,1.0,0.6666666666666667,0.5714285714285714,0.3333333333333333,0.6880952380952381,3,0.004539707999811071,0.8263899117449502,False
20699,patient,SHAP,1.0,1.0,0.0,0.7616133178425883,0.0,0.45464532713703537,9,0.00018087499984176247,0.8263899117449502,False
20699,patient,LIME,0.8533919644920333,1.0,0.33333333333333337,0.4753226064004153,1.0,0.3421349056760361,6,0.027973333000318235,0.8263899117449502,False
20699,patient,Counterfactual,1.0,0.6198286534775703,0.8888888888888888,1.0,0.6666666666666666,0.775435877118323,1,0.012348167000254762,0.8263899117449502,False
20699,patient,Rules,1.0,1.0,0.6666666666666667,0.7142857142857143,0.3333333333333333,0.6357142857142858,3,0.004539707999811071,0.8263899117449502,False
20699,auditor,SHAP,1.0,1.0,0.0,0.0,0.0,0.8,9,0.00018087499984176247,0.8263899117449502,False
20699,auditor,LIME,0.8533919644920333,1.0,0.33333333333333337,0.0,1.0,0.60802345246348,6,0.027973333000318235,0.8263899117449502,False
20699,auditor,Counterfactual,1.0,0.6198286534775703,0.8888888888888888,0.0,0.6666666666666666,0.5923759058354726,1,0.012348167000254762,0.8263899117449502,False
20699,auditor,Rules,1.0,1.0,0.6666666666666667,0.0,0.3333333333333333,0.7833333333333334,3,0.004539707999811071,0.8263899117449502,False
16030,doctor,SHAP,0.9853122784561839,1.0,0.0,0.8287267569549108,0.0,0.6942117106233284,9,0.00017991599997913,0.8461896805446927,False
16030,doctor,LIME,0.8781131698506981,1.0,0.33333333333333337,0.5486651175575707,1.0,0.5280334862224807,6,0.02788645800001177,0.8461896805446927,False
16030,doctor,Counterfactual,1.0,0.9315623792912352,0.8888888888888888,1.0,0.6666666666666666,0.8064010235603519,1,0.009716541000216239,0.8461896805446927,False
16030,doctor,Rules,0.852437981256789,0.8521697663465782,0.6666666666666667,0.5714285714285714,0.3333333333333333,0.6216520974242614,3,0.00436854100007622,0.8461896805446927,False
16030,patient,SHAP,0.9853122784561839,1.0,0.0,0.9028076210623261,0.0,0.5096542762705489,9,0.00017991599997913,0.8461896805446927,False
16030,patient,LIME,0.8781131698506981,1.0,0.33333333333333337,0.5136675582678795,1.0,0.3599450069588883,6,0.02788645800001177,0.8461896805446927,False
16030,patient,Counterfactual,1.0,0.9315623792912352,0.8888888888888888,1.0,0.6666666666666666,0.7910225634090062,1,0.009716541000216239,0.8461896805446927,False
